Variables,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,,,,,,,,,,,,
tollmon,0.726345964,0.360902274,-0.184471357,0.03973225,-0.013074616,-0.047852251,-0.057885985,0.088673054,-0.014677842,0.208138102,,,,,,,,,,,,
pager,0.729451467,-0.314060749,0.010737135,-0.02490006,0.060200397,0.184432091,0.154583573,-0.124905803,-0.023927628,0.169438861,,,,,,,,,,,,
tollfree,0.700483424,0.273831226,-0.310920209,-0.006653691,-0.028245573,-0.104158997,-0.108488282,0.103075042,0.012539128,0.153077785,,,,,,,,,,,,
custcat_4,0.796329868,-0.34652616,0.020284356,-0.005021066,0.03284418,0.181910168,0.22284771,-0.101045233,-0.046681134,0.121942237,,,,,,,,,,,,
wiremon,0.833155516,-0.266089781,0.093360601,-0.023995744,0.048100653,0.111041649,0.147211706,-0.072297839,-0.072102994,0.113168717,,,,According to the correleation we are coloring the variable and each pca we need to choose 2 variable ,,,,,,,,
wireless,0.792664251,-0.295856463,0.025400746,-0.04255161,0.061542585,0.073713066,0.125752722,-0.066005644,-0.062272488,0.079517794,,,,,,,,,,,,
voice,0.695164728,-0.282256773,0.015173299,-0.020882203,-0.036066866,0.099121765,0.093230381,-0.084016329,-0.078026529,0.059322228,,,,,,,,,,,,
callwait,0.688248971,0.279323319,-0.324261871,0.012779721,-0.022599213,-0.11045671,-0.111311787,0.090943864,0.038011497,0.058282208,,,,,,,,,,,,
confer,0.676471948,0.282017736,-0.26042202,-0.032995158,0.009566992,-0.10290715,-0.111138628,0.087737687,-0.003081168,-0.002497465,,,,,,,,,,,,
callid,0.696797222,0.250093462,-0.330396,-0.004716653,0.003217481,-0.060641001,-0.122478244,0.089041533,-0.000725233,-0.036344074,,,,,,,,,,,,
forward,0.692789242,0.253498233,-0.306570062,0.017784781,-0.02783992,-0.102598531,-0.074459571,0.066540667,0.066150558,-0.043696638,,,,,,,,,,,,
multline,0.270747443,-0.145326195,0.624221563,0.231433666,0.023912351,-0.310470874,-0.221016409,0.078072864,-0.08069123,0.38658229,,,,,,,,,,,,
custcat_2,-0.358062121,-0.206504888,0.604041315,0.204350868,-0.007318982,-0.307095995,-0.223781886,-0.007320004,-0.101314902,0.24057288,,,,,,,,,,,,
region_3,0.003351283,0.008292752,0.006386013,-0.088527241,-0.858186887,0.070831923,0.053099248,-0.021455093,-0.008957009,0.065138554,,,,,,,,,,,,
longmon,0.191869103,0.498032019,0.569667213,0.191674945,-0.032483809,-0.119616409,0.04520535,0.007043627,0.010729156,0.05775225,,,,,,,,,,,,
retire,0.030160351,0.315709181,0.206646256,-0.246867933,0.03536219,-0.134456021,0.525854986,0.529136307,0.073215511,0.054836419,,,,,,,,,,,,
tenure,0.201294084,0.528303693,0.627711689,0.213197897,-0.020309669,-0.091077379,-0.019408669,-0.072401751,-0.033088393,0.046752882,,,,,,,,,,,,
ed,0.276653369,-0.521261119,0.18383066,-0.042610605,-0.047660191,-0.029495597,-0.298197054,0.071280117,0.035935328,0.023870994,,,,,,,,,,,,
address,0.116377807,0.506052682,0.501000206,-0.178338776,0.024676761,0.063909605,0.122400409,0.120578538,0.129783389,-0.011057048,,,,,,,,,,,,
reside,0.04830717,-0.131616802,-0.132101053,0.813760428,0.011571773,0.266324451,0.039013075,0.191304972,0.086055756,-0.035251992,,,,,,,,,,,,
region_2,0.003405586,0.018843471,-0.022157164,-0.023336377,0.867038352,-0.04078948,-0.0140379,-0.013080927,-0.090030354,-0.035704237,,,,,,,,,,,,
employ,0.182789122,0.606792676,0.431006334,-0.178044601,0.04358432,0.363252761,-0.155889334,0.066956178,0.042439153,-0.055771899,,,,,,,,,,,,
age,0.146484355,0.562729639,0.501498885,-0.289778214,0.033716673,0.210193617,0.102686214,0.17664701,0.169208961,-0.063157934,,,,,,,,,,,,
income,0.269835067,0.2819883,0.309515647,-0.185302925,0.020753374,0.525157622,-0.536852863,-0.150325706,-0.006402253,-0.071501237,,,,,,,,,,,,
marital,0.072451401,0.015132969,0.052789094,0.798102395,-0.007117447,0.300644137,0.055214057,0.240643798,0.175002682,-0.10757022,,,,,,,,,,,,
ebill,0.24942447,-0.630960289,0.240448316,-0.138870116,-0.02889521,-0.042606841,-0.025471337,0.093859003,0.101097733,-0.108782728,,,,,,,,,,,,
custcat_3,0.109487671,0.64835986,-0.408366302,0.021423488,-0.041302389,-0.280739898,-0.330634913,0.218194455,0.093530408,-0.156228452,,,,,,,,,,,,
internet,0.323645415,-0.630983665,0.240053399,-0.047661111,-0.081537958,-0.065757132,-0.081763945,0.118543817,0.0638928,-0.165977005,,,,,,,,,,,,
gender,-0.007636444,0.002949573,0.049726177,0.003392365,-0.07923738,0.130162178,-0.036742407,0.38063377,-0.883916502,-0.177180656,,,,,,,,,,,,
equipmon,0.495621448,-0.645699452,0.275207596,-0.068567998,0.003000212,-0.12237879,-0.068423474,0.151055023,0.113683629,-0.274924405,,,,,,,,,,,,
equip,0.331486065,-0.687461297,0.263971471,-0.085317479,0.002591896,-0.147139996,-0.119204533,0.197106283,0.146989083,-0.317538164,,,,,,,,,,,,
callcard,0.494739527,0.414932511,0.190791836,0.168532011,-0.055148497,-0.240160262,0.125042187,-0.345110239,-0.128057941,-0.332465743,,,,,,,,,,,,
cardmon,0.452246206,0.395547498,0.250940455,0.213076724,-0.053389522,-0.208184339,0.197533109,-0.355428662,-0.084502668,-0.344370654,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PC1,tollmon,0.726345964,,,,,,,,,,,,,,,,,,,,
,pager,0.729451467,,,,,,,,,,,,,,,,,,,,
,tollfree,0.700483424,,,,,,,,,,,,,,,,,,,,
,custcat_4,0.796329868,,,,,,,,,wiremon,,,,,,,,,,,
,wiremon,0.833155516,,,,,,,,,tollmon,,,,,,,,,,,
,wireless,0.792664251,,,,,,,,,,,,,,,,,,,,
,voice,0.695164728,,,,,,,,,,,,,,,,,,,,
,callwait,0.688248971,,,,,,,,,,,,,,,,,,,,
,confer,0.676471948,,,,,,,,,,,,,,,,,,,,
,callid,0.696797222,,,,,,,,,,,,,,,,,,,,
,forward,0.692789242,,,,,,,,,,,,,,,,,,,,
PC2,tenure,0.201294084,0.528303693,,,,,,,,,,,,,,,,,,,
,ed,0.276653369,-0.521261119,,,,,,,,employ,,,,,,,,,,,
,address,0.116377807,0.506052682,,,,,,,,tenure,,,,,,,,,,,
,employ,0.182789122,0.606792676,,,,,,,,,,,,,,,,,,,
,age,0.146484355,0.562729639,,,,,,,,,,,,,,,,,,,
,ebill,0.24942447,-0.630960289,,,,,,,,,,,,,,,,,,,
,custcat_3,0.109487671,0.64835986,,,,,,,,,,,,,,,,,,,
,internet,0.323645415,-0.630983665,,,,,,,,,,,,,,,,,,,
,equipmon,0.495621448,-0.645699452,,,,,,,,,,,,,,,,,,,
,equip,0.331486065,-0.687461297,,,,,,,,,,,,,,,,,,,
PC3,multline,0.270747443,-0.145326195,0.624221563,,,,,,,multline,,,,,,,,,,,
,custcat_2,-0.358062121,-0.206504888,0.604041315,,,,,,,custcat_2,,,,,,,,,,,
,longmon,0.191869103,0.498032019,0.569667213,,,,,,,,,,,,,,,,,,
,tenure,0.201294084,0.528303693,0.627711689,,,,,,,,,,,,,,,,,,
,age,0.146484355,0.562729639,0.501498885,,,,,,,,,,,,,,,,,,
PC4,reside,0.04830717,-0.131616802,-0.132101053,0.813760428,,,,,,reside,,,,,,,,,,,
,marital,0.072451401,0.015132969,0.052789094,0.798102395,,,,,,,,,,,,,,,,,
PC5,region_3,0.003351283,0.008292752,0.006386013,-0.088527241,-0.858186887,,,,,region_3,,,,,,,,,,,
,region_2,0.003405586,0.018843471,-0.022157164,-0.023336377,0.867038352,,,,,region_2,,,,,,,,,,,
PC6,income,0.269835067,0.2819883,0.309515647,-0.185302925,0.020753374,0.525157622,,,,income,,,,,,,,,,,
PC8,retire,0.030160351,0.315709181,0.206646256,-0.246867933,0.03536219,-0.134456021,0.525854986,,,retire,,,,,,,,,,,
,income,0.269835067,0.2819883,0.309515647,-0.185302925,0.020753374,0.525157622,-0.536852863,,,,,,,,,,,,,,
